Division,Gender,Age,Year,Provin,Value
Height,Male,70s,2012,Ulsan,165.36
Height,Male,70s,2013,Ulsan,165.09
Height,Male,70s,2014,Ulsan,165.45
Height,Male,70s,2015,Ulsan,165.16
Height,Male,70s,2016,Ulsan,165.32
Height,Male,70s,2017,Ulsan,165.22
Height,Male,70s,2018,Ulsan,165.47
Height,Male,70s,2019,Ulsan,165.47
Height,Male,70s,2012,Seoul,165.03
Height,Male,70s,2013,Seoul,165.09
Height,Male,70s,2014,Seoul,165.14
Height,Male,70s,2015,Seoul,165.21
Height,Male,70s,2016,Seoul,165.25
Height,Male,70s,2017,Seoul,165.08
Height,Male,70s,2018,Seoul,165.06
Height,Male,70s,2019,Seoul,165.06
Height,Male,70s,2012,Sejong,163.81
Height,Male,70s,2013,Sejong,164.04
Height,Male,70s,2014,Sejong,164.02
Height,Male,70s,2015,Sejong,164.39
Height,Male,70s,2016,Sejong,164.56
Height,Male,70s,2017,Sejong,164.54
Height,Male,70s,2018,Sejong,164.51
Height,Male,70s,2019,Sejong,164.51
Height,Male,70s,2012,Jeonnam,164.37
Height,Male,70s,2013,Jeonnam,164.37
Height,Male,70s,2014,Jeonnam,164.68
Height,Male,70s,2015,Jeonnam,164.78
Height,Male,70s,2016,Jeonnam,164.98
Height,Male,70s,2017,Jeonnam,165.01
Height,Male,70s,2018,Jeonnam,165.06
Height,Male,70s,2019,Jeonnam,165.06
Height,Male,70s,2012,Jeonbuk,164.07
Height,Male,70s,2013,Jeonbuk,163.99
Height,Male,70s,2014,Jeonbuk,164.23
Height,Male,70s,2015,Jeonbuk,164.33
Height,Male,70s,2016,Jeonbuk,164.56
Height,Male,70s,2017,Jeonbuk,164.50
Height,Male,70s,2018,Jeonbuk,164.61
Height,Male,70s,2019,Jeonbuk,164.61
Height,Male,70s,2012,Jeju,164.37
Height,Male,70s,2013,Jeju,164.52
Height,Male,70s,2014,Jeju,164.82
Height,Male,70s,2015,Jeju,164.68
Height,Male,70s,2016,Jeju,165.05
Height,Male,70s,2017,Jeju,164.97
Height,Male,70s,2018,Jeju,165.02
Height,Male,70s,2019,Jeju,165.02
Height,Male,70s,2012,Incheon,164.67
Height,Male,70s,2013,Incheon,164.76
Height,Male,70s,2014,Incheon,164.76
Height,Male,70s,2015,Incheon,164.82
Height,Male,70s,2016,Incheon,164.95
Height,Male,70s,2017,Incheon,164.80
Height,Male,70s,2018,Incheon,164.86
Height,Male,70s,2019,Incheon,164.86
Height,Male,70s,2012,Gyeongnam,164.68
Height,Male,70s,2013,Gyeongnam,164.72
Height,Male,70s,2014,Gyeongnam,164.85
Height,Male,70s,2015,Gyeongnam,165.05
Height,Male,70s,2016,Gyeongnam,165.14
Height,Male,70s,2017,Gyeongnam,165.11
Height,Male,70s,2018,Gyeongnam,165.15
Height,Male,70s,2019,Gyeongnam,165.15
Height,Male,70s,2012,Gyeonggi,164.68
Height,Male,70s,2013,Gyeonggi,164.76
Height,Male,70s,2014,Gyeonggi,164.81
Height,Male,70s,2015,Gyeonggi,164.90
Height,Male,70s,2016,Gyeonggi,164.99
Height,Male,70s,2017,Gyeonggi,164.91
Height,Male,70s,2018,Gyeonggi,164.91
Height,Male,70s,2019,Gyeonggi,164.91
Height,Male,70s,2012,Gyeongbuk,164.27
Height,Male,70s,2013,Gyeongbuk,164.27
Height,Male,70s,2014,Gyeongbuk,164.51
Height,Male,70s,2015,Gyeongbuk,164.51
Height,Male,70s,2016,Gyeongbuk,164.67
Height,Male,70s,2017,Gyeongbuk,164.59
Height,Male,70s,2018,Gyeongbuk,164.68
Height,Male,70s,2019,Gyeongbuk,164.68
Height,Male,70s,2012,Gwangju,165.36
Height,Male,70s,2013,Gwangju,165.48
Height,Male,70s,2014,Gwangju,165.48
Height,Male,70s,2015,Gwangju,165.62
Height,Male,70s,2016,Gwangju,165.59
Height,Male,70s,2017,Gwangju,165.45
Height,Male,70s,2018,Gwangju,165.35
Height,Male,70s,2019,Gwangju,165.35
Height,Male,70s,2012,Gangwon,163.86
Height,Male,70s,2013,Gangwon,164.08
Height,Male,70s,2014,Gangwon,164.10
Height,Male,70s,2015,Gangwon,164.25
Height,Male,70s,2016,Gangwon,164.37
Height,Male,70s,2017,Gangwon,164.23
Height,Male,70s,2018,Gangwon,164.26
Height,Male,70s,2019,Gangwon,164.26
Height,Male,70s,2012,Daejeon,164.88
Height,Male,70s,2013,Daejeon,164.83
Height,Male,70s,2014,Daejeon,165.05
Height,Male,70s,2015,Daejeon,165.04
Height,Male,70s,2016,Daejeon,165.30
Height,Male,70s,2017,Daejeon,165.03
Height,Male,70s,2018,Daejeon,165.03
Height,Male,70s,2019,Daejeon,165.03
Height,Male,70s,2012,Daegu,165.11
Height,Male,70s,2013,Daegu,165.21
Height,Male,70s,2014,Daegu,165.32
Height,Male,70s,2015,Daegu,165.24
Height,Male,70s,2016,Daegu,165.38
Height,Male,70s,2017,Daegu,165.10
Height,Male,70s,2018,Daegu,165.15
Height,Male,70s,2019,Daegu,165.15
Height,Male,70s,2012,Chungnam,163.78
Height,Male,70s,2013,Chungnam,163.85
Height,Male,70s,2014,Chungnam,164.11
Height,Male,70s,2015,Chungnam,164.14
Height,Male,70s,2016,Chungnam,164.36
Height,Male,70s,2017,Chungnam,164.32
Height,Male,70s,2018,Chungnam,164.36
Height,Male,70s,2019,Chungnam,164.36
Height,Male,70s,2012,Chungbuk,163.81
Height,Male,70s,2013,Chungbuk,163.77
Height,Male,70s,2014,Chungbuk,164.01
Height,Male,70s,2015,Chungbuk,164.04
Height,Male,70s,2016,Chungbuk,164.33
Height,Male,70s,2017,Chungbuk,164.23
Height,Male,70s,2018,Chungbuk,164.28
Height,Male,70s,2019,Chungbuk,164.28
Height,Male,70s,2012,Busan,165.35
Height,Male,70s,2013,Busan,165.51
Height,Male,70s,2014,Busan,165.49
Height,Male,70s,2015,Busan,165.51
Height,Male,70s,2016,Busan,165.54
Height,Male,70s,2017,Busan,165.32
Height,Male,70s,2018,Busan,165.31
Height,Male,70s,2019,Busan,165.31
Height,Male,60s,2012,Ulsan,166.88
Height,Male,60s,2013,Ulsan,166.69
Height,Male,60s,2014,Ulsan,166.94
Height,Male,60s,2015,Ulsan,166.94
Height,Male,60s,2016,Ulsan,167.16
Height,Male,60s,2017,Ulsan,167.16
Height,Male,60s,2018,Ulsan,167.33
Height,Male,60s,2019,Ulsan,167.33
Height,Male,60s,2012,Seoul,166.45
Height,Male,60s,2013,Seoul,166.50
Height,Male,60s,2014,Seoul,166.70
Height,Male,60s,2015,Seoul,166.84
Height,Male,60s,2016,Seoul,166.92
Height,Male,60s,2017,Seoul,166.87
Height,Male,60s,2018,Seoul,166.94
Height,Male,60s,2019,Seoul,166.94
Height,Male,60s,2012,Sejong,165.88
Height,Male,60s,2013,Sejong,165.97
Height,Male,60s,2014,Sejong,166.41
Height,Male,60s,2015,Sejong,166.84
Height,Male,60s,2016,Sejong,166.89
Height,Male,60s,2017,Sejong,167.04
Height,Male,60s,2018,Sejong,167.09
Height,Male,60s,2019,Sejong,167.09
Height,Male,60s,2012,Jeonnam,166.70
Height,Male,60s,2013,Jeonnam,166.67
Height,Male,60s,2014,Jeonnam,166.97
Height,Male,60s,2015,Jeonnam,166.99
Height,Male,60s,2016,Jeonnam,167.17
Height,Male,60s,2017,Jeonnam,167.15
Height,Male,60s,2018,Jeonnam,167.30
Height,Male,60s,2019,Jeonnam,167.30
Height,Male,60s,2012,Jeonbuk,166.05
Height,Male,60s,2013,Jeonbuk,165.96
Height,Male,60s,2014,Jeonbuk,166.31
Height,Male,60s,2015,Jeonbuk,166.35
Height,Male,60s,2016,Jeonbuk,166.54
Height,Male,60s,2017,Jeonbuk,166.51
Height,Male,60s,2018,Jeonbuk,166.65
Height,Male,60s,2019,Jeonbuk,166.65
Height,Male,60s,2012,Jeju,166.27
Height,Male,60s,2013,Jeju,166.26
Height,Male,60s,2014,Jeju,166.43
Height,Male,60s,2015,Jeju,166.77
Height,Male,60s,2016,Jeju,166.84
Height,Male,60s,2017,Jeju,166.98
Height,Male,60s,2018,Jeju,167.05
Height,Male,60s,2019,Jeju,167.05
Height,Male,60s,2012,Incheon,166.20
Height,Male,60s,2013,Incheon,166.25
Height,Male,60s,2014,Incheon,166.37
Height,Male,60s,2015,Incheon,166.51
Height,Male,60s,2016,Incheon,166.65
Height,Male,60s,2017,Incheon,166.67
Height,Male,60s,2018,Incheon,166.71
Height,Male,60s,2019,Incheon,166.71
Height,Male,60s,2012,Gyeongnam,166.59
Height,Male,60s,2013,Gyeongnam,166.66
Height,Male,60s,2014,Gyeongnam,166.84
Height,Male,60s,2015,Gyeongnam,167.01
Height,Male,60s,2016,Gyeongnam,167.14
Height,Male,60s,2017,Gyeongnam,167.13
Height,Male,60s,2018,Gyeongnam,167.20
Height,Male,60s,2019,Gyeongnam,167.20
Height,Male,60s,2012,Gyeonggi,166.21
Height,Male,60s,2013,Gyeonggi,166.23
Height,Male,60s,2014,Gyeonggi,166.48
Height,Male,60s,2015,Gyeonggi,166.57
Height,Male,60s,2016,Gyeonggi,166.70
Height,Male,60s,2017,Gyeonggi,166.69
Height,Male,60s,2018,Gyeonggi,166.80
Height,Male,60s,2019,Gyeonggi,166.80
Height,Male,60s,2012,Gyeongbuk,166.19
Height,Male,60s,2013,Gyeongbuk,166.23
Height,Male,60s,2014,Gyeongbuk,166.54
Height,Male,60s,2015,Gyeongbuk,166.54
Height,Male,60s,2016,Gyeongbuk,166.65
Height,Male,60s,2017,Gyeongbuk,166.66
Height,Male,60s,2018,Gyeongbuk,166.77
Height,Male,60s,2019,Gyeongbuk,166.77
Height,Male,60s,2012,Gwangju,166.78
Height,Male,60s,2013,Gwangju,166.74
Height,Male,60s,2014,Gwangju,167.04
Height,Male,60s,2015,Gwangju,167.09
Height,Male,60s,2016,Gwangju,167.16
Height,Male,60s,2017,Gwangju,167.20
Height,Male,60s,2018,Gwangju,167.26
Height,Male,60s,2019,Gwangju,167.26
Height,Male,60s,2012,Gangwon,165.73
Height,Male,60s,2013,Gangwon,165.83
Height,Male,60s,2014,Gangwon,166.09
Height,Male,60s,2015,Gangwon,166.27
Height,Male,60s,2016,Gangwon,166.42
Height,Male,60s,2017,Gangwon,166.44
Height,Male,60s,2018,Gangwon,166.49
Height,Male,60s,2019,Gangwon,166.49
Height,Male,60s,2012,Daejeon,166.40
Height,Male,60s,2013,Daejeon,166.43
Height,Male,60s,2014,Daejeon,166.80
Height,Male,60s,2015,Daejeon,166.94
Height,Male,60s,2016,Daejeon,167.05
Height,Male,60s,2017,Daejeon,167.02
Height,Male,60s,2018,Daejeon,167.05
Height,Male,60s,2019,Daejeon,167.05
Height,Male,60s,2012,Daegu,166.37
Height,Male,60s,2013,Daegu,166.35
Height,Male,60s,2014,Daegu,166.59
Height,Male,60s,2015,Daegu,166.59
Height,Male,60s,2016,Daegu,166.78
Height,Male,60s,2017,Daegu,166.69
Height,Male,60s,2018,Daegu,166.84
Height,Male,60s,2019,Daegu,166.84
Height,Male,60s,2012,Chungnam,166.02
Height,Male,60s,2013,Chungnam,166.08
Height,Male,60s,2014,Chungnam,166.34
Height,Male,60s,2015,Chungnam,166.41
Height,Male,60s,2016,Chungnam,166.55
Height,Male,60s,2017,Chungnam,166.47
Height,Male,60s,2018,Chungnam,166.59
Height,Male,60s,2019,Chungnam,166.59
Height,Male,60s,2012,Chungbuk,165.90
Height,Male,60s,2013,Chungbuk,165.87
Height,Male,60s,2014,Chungbuk,166.21
Height,Male,60s,2015,Chungbuk,166.27
Height,Male,60s,2016,Chungbuk,166.47
Height,Male,60s,2017,Chungbuk,166.36
Height,Male,60s,2018,Chungbuk,166.43
Height,Male,60s,2019,Chungbuk,166.43
Height,Male,60s,2012,Busan,166.64
Height,Male,60s,2013,Busan,166.68
Height,Male,60s,2014,Busan,166.90
Height,Male,60s,2015,Busan,166.96
Height,Male,60s,2016,Busan,167.08
Height,Male,60s,2017,Busan,166.98
Height,Male,60s,2018,Busan,167.10
Height,Male,60s,2019,Busan,167.10
Height,Male,50s,2012,Ulsan,169.10
Height,Male,50s,2013,Ulsan,169.21
Height,Male,50s,2014,Ulsan,169.19
Height,Male,50s,2015,Ulsan,169.37
Height,Male,50s,2016,Ulsan,169.68
Height,Male,50s,2017,Ulsan,169.65
Height,Male,50s,2018,Ulsan,169.87
Height,Male,50s,2019,Ulsan,169.87
Height,Male,50s,2012,Seoul,168.74
Height,Male,50s,2013,Seoul,168.88
Height,Male,50s,2014,Seoul,169.10
Height,Male,50s,2015,Seoul,169.36
Height,Male,50s,2016,Seoul,169.46
Height,Male,50s,2017,Seoul,169.46
Height,Male,50s,2018,Seoul,169.63
Height,Male,50s,2019,Seoul,169.63
Height,Male,50s,2012,Sejong,168.34
Height,Male,50s,2013,Sejong,168.52
Height,Male,50s,2014,Sejong,168.94
Height,Male,50s,2015,Sejong,169.21
Height,Male,50s,2016,Sejong,169.48
Height,Male,50s,2017,Sejong,169.38
Height,Male,50s,2018,Sejong,169.56
Height,Male,50s,2019,Sejong,169.56
Height,Male,50s,2012,Jeonnam,168.90
Height,Male,50s,2013,Jeonnam,169.00
Height,Male,50s,2014,Jeonnam,169.23
Height,Male,50s,2015,Jeonnam,169.34
Height,Male,50s,2016,Jeonnam,169.50
Height,Male,50s,2017,Jeonnam,169.50
Height,Male,50s,2018,Jeonnam,169.57
Height,Male,50s,2019,Jeonnam,169.57
Height,Male,50s,2012,Jeonbuk,168.42
Height,Male,50s,2013,Jeonbuk,168.47
Height,Male,50s,2014,Jeonbuk,168.72
Height,Male,50s,2015,Jeonbuk,168.85
Height,Male,50s,2016,Jeonbuk,168.99
Height,Male,50s,2017,Jeonbuk,168.93
Height,Male,50s,2018,Jeonbuk,169.09
Height,Male,50s,2019,Jeonbuk,169.09
Height,Male,50s,2012,Jeju,168.41
Height,Male,50s,2013,Jeju,168.48
Height,Male,50s,2014,Jeju,168.63
Height,Male,50s,2015,Jeju,168.87
Height,Male,50s,2016,Jeju,169.07
Height,Male,50s,2017,Jeju,169.11
Height,Male,50s,2018,Jeju,169.12
Height,Male,50s,2019,Jeju,169.12
Height,Male,50s,2012,Incheon,168.46
Height,Male,50s,2013,Incheon,168.53
Height,Male,50s,2014,Incheon,168.72
Height,Male,50s,2015,Incheon,168.92
Height,Male,50s,2016,Incheon,169.11
Height,Male,50s,2017,Incheon,169.04
Height,Male,50s,2018,Incheon,169.18
Height,Male,50s,2019,Incheon,169.18
Height,Male,50s,2012,Gyeongnam,168.85
Height,Male,50s,2013,Gyeongnam,168.92
Height,Male,50s,2014,Gyeongnam,169.11
Height,Male,50s,2015,Gyeongnam,169.28
Height,Male,50s,2016,Gyeongnam,169.47
Height,Male,50s,2017,Gyeongnam,169.45
Height,Male,50s,2018,Gyeongnam,169.53
Height,Male,50s,2019,Gyeongnam,169.53
Height,Male,50s,2012,Gyeonggi,168.53
Height,Male,50s,2013,Gyeonggi,168.61
Height,Male,50s,2014,Gyeonggi,168.84
Height,Male,50s,2015,Gyeonggi,169.04
Height,Male,50s,2016,Gyeonggi,169.19
Height,Male,50s,2017,Gyeonggi,169.16
Height,Male,50s,2018,Gyeonggi,169.30
Height,Male,50s,2019,Gyeonggi,169.30
Height,Male,50s,2012,Gyeongbuk,168.54
Height,Male,50s,2013,Gyeongbuk,168.62
Height,Male,50s,2014,Gyeongbuk,168.90
Height,Male,50s,2015,Gyeongbuk,169.00
Height,Male,50s,2016,Gyeongbuk,169.19
Height,Male,50s,2017,Gyeongbuk,169.12
Height,Male,50s,2018,Gyeongbuk,169.26
Height,Male,50s,2019,Gyeongbuk,169.26
Height,Male,50s,2012,Gwangju,169.03
Height,Male,50s,2013,Gwangju,169.11
Height,Male,50s,2014,Gwangju,169.34
Height,Male,50s,2015,Gwangju,169.53
Height,Male,50s,2016,Gwangju,169.62
Height,Male,50s,2017,Gwangju,169.52
Height,Male,50s,2018,Gwangju,169.66
Height,Male,50s,2019,Gwangju,169.66
Height,Male,50s,2012,Gangwon,168.08
Height,Male,50s,2013,Gangwon,168.18
Height,Male,50s,2014,Gangwon,168.42
Height,Male,50s,2015,Gangwon,168.59
Height,Male,50s,2016,Gangwon,168.79
Height,Male,50s,2017,Gangwon,168.72
Height,Male,50s,2018,Gangwon,168.89
Height,Male,50s,2019,Gangwon,168.89
Height,Male,50s,2012,Daejeon,168.92
Height,Male,50s,2013,Daejeon,168.94
Height,Male,50s,2014,Daejeon,169.30
Height,Male,50s,2015,Daejeon,169.47
Height,Male,50s,2016,Daejeon,169.66
Height,Male,50s,2017,Daejeon,169.52
Height,Male,50s,2018,Daejeon,169.63
Height,Male,50s,2019,Daejeon,169.63
Height,Male,50s,2012,Daegu,168.63
Height,Male,50s,2013,Daegu,168.72
Height,Male,50s,2014,Daegu,168.97
Height,Male,50s,2015,Daegu,169.11
Height,Male,50s,2016,Daegu,169.28
Height,Male,50s,2017,Daegu,169.23
Height,Male,50s,2018,Daegu,169.42
Height,Male,50s,2019,Daegu,169.42
Height,Male,50s,2012,Chungnam,168.45
Height,Male,50s,2013,Chungnam,168.54
Height,Male,50s,2014,Chungnam,168.80
Height,Male,50s,2015,Chungnam,168.91
Height,Male,50s,2016,Chungnam,169.01
Height,Male,50s,2017,Chungnam,168.89
Height,Male,50s,2018,Chungnam,169.00
Height,Male,50s,2019,Chungnam,169.00
Height,Male,50s,2012,Chungbuk,168.21
Height,Male,50s,2013,Chungbuk,168.28
Height,Male,50s,2014,Chungbuk,168.51
Height,Male,50s,2015,Chungbuk,168.62
Height,Male,50s,2016,Chungbuk,168.78
Height,Male,50s,2017,Chungbuk,168.64
Height,Male,50s,2018,Chungbuk,168.72
Height,Male,50s,2019,Chungbuk,168.72
Height,Male,50s,2012,Busan,168.79
Height,Male,50s,2013,Busan,168.91
Height,Male,50s,2014,Busan,169.13
Height,Male,50s,2015,Busan,169.37
Height,Male,50s,2016,Busan,169.52
Height,Male,50s,2017,Busan,169.49
Height,Male,50s,2018,Busan,169.64
Height,Male,50s,2019,Busan,169.64
Height,Male,40s,2012,Ulsan,171.17
Height,Male,40s,2013,Ulsan,171.43
Height,Male,40s,2014,Ulsan,171.43
Height,Male,40s,2015,Ulsan,171.79
Height,Male,40s,2016,Ulsan,172.10
Height,Male,40s,2017,Ulsan,172.21
Height,Male,40s,2018,Ulsan,172.35
Height,Male,40s,2019,Ulsan,172.35
Height,Male,40s,2012,Seoul,171.27
Height,Male,40s,2013,Seoul,171.85
Height,Male,40s,2014,Seoul,171.83
Height,Male,40s,2015,Seoul,172.31
Height,Male,40s,2016,Seoul,172.52
Height,Male,40s,2017,Seoul,172.50
Height,Male,40s,2018,Seoul,172.66
Height,Male,40s,2019,Seoul,172.66
Height,Male,40s,2012,Sejong,170.22
Height,Male,40s,2013,Sejong,170.92
Height,Male,40s,2014,Sejong,171.14
Height,Male,40s,2015,Sejong,171.65
Height,Male,40s,2016,Sejong,172.02
Height,Male,40s,2017,Sejong,172.00
Height,Male,40s,2018,Sejong,172.28
Height,Male,40s,2019,Sejong,172.28
Height,Male,40s,2012,Jeonnam,170.77
Height,Male,40s,2013,Jeonnam,171.15
Height,Male,40s,2014,Jeonnam,171.16
Height,Male,40s,2015,Jeonnam,171.40
Height,Male,40s,2016,Jeonnam,171.57
Height,Male,40s,2017,Jeonnam,171.56
Height,Male,40s,2018,Jeonnam,171.69
Height,Male,40s,2019,Jeonnam,171.69
Height,Male,40s,2012,Jeonbuk,170.45
Height,Male,40s,2013,Jeonbuk,170.83
Height,Male,40s,2014,Jeonbuk,170.81
Height,Male,40s,2015,Jeonbuk,171.18
Height,Male,40s,2016,Jeonbuk,171.34
Height,Male,40s,2017,Jeonbuk,171.41
Height,Male,40s,2018,Jeonbuk,171.56
Height,Male,40s,2019,Jeonbuk,171.56
Height,Male,40s,2012,Jeju,170.35
Height,Male,40s,2013,Jeju,170.78
Height,Male,40s,2014,Jeju,170.62
Height,Male,40s,2015,Jeju,171.23
Height,Male,40s,2016,Jeju,171.47
Height,Male,40s,2017,Jeju,171.49
Height,Male,40s,2018,Jeju,171.60
Height,Male,40s,2019,Jeju,171.60
Height,Male,40s,2012,Incheon,170.69
Height,Male,40s,2013,Incheon,171.22
Height,Male,40s,2014,Incheon,171.22
Height,Male,40s,2015,Incheon,171.71
Height,Male,40s,2016,Incheon,171.98
Height,Male,40s,2017,Incheon,171.95
Height,Male,40s,2018,Incheon,172.12
Height,Male,40s,2019,Incheon,172.12
Height,Male,40s,2012,Gyeongnam,170.87
Height,Male,40s,2013,Gyeongnam,171.23
Height,Male,40s,2014,Gyeongnam,171.25
Height,Male,40s,2015,Gyeongnam,171.63
Height,Male,40s,2016,Gyeongnam,171.88
Height,Male,40s,2017,Gyeongnam,171.92
Height,Male,40s,2018,Gyeongnam,172.04
Height,Male,40s,2019,Gyeongnam,172.04
Height,Male,40s,2012,Gyeonggi,170.87
Height,Male,40s,2013,Gyeonggi,171.36
Height,Male,40s,2014,Gyeonggi,171.37
Height,Male,40s,2015,Gyeonggi,171.82
Height,Male,40s,2016,Gyeonggi,172.04
Height,Male,40s,2017,Gyeonggi,172.04
Height,Male,40s,2018,Gyeonggi,172.20
Height,Male,40s,2019,Gyeonggi,172.20
Height,Male,40s,2012,Gyeongbuk,170.65
Height,Male,40s,2013,Gyeongbuk,171.07
Height,Male,40s,2014,Gyeongbuk,171.12
Height,Male,40s,2015,Gyeongbuk,171.47
Height,Male,40s,2016,Gyeongbuk,171.65
Height,Male,40s,2017,Gyeongbuk,171.66
Height,Male,40s,2018,Gyeongbuk,171.85
